timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,symChange,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-08-06,132.79,126.34,126.34,129.24,129.2,124.85,7875045,1025556044.33,164.36,62.3,INE069I01010,130.23,,2.30,2.75,3.52,38.95,-4.44,-4.55,0.10
2024-08-07,134.4,124.3,133.8,126.32,126.8,129.24,7882361,1010614257.58,164.36,62.3,INE069I01010,128.21,,-5.59,6.40,-2.26,35.77,-4.67,-4.57,-0.09
2024-08-08,128.4,123.5,126.8,124.02,123.98,126.32,3983790,501865904.67,164.36,62.3,INE069I01010,125.98,,-2.19,3.53,-1.82,33.45,-4.97,-4.65,-0.32
2024-08-09,127.08,122.0,126.04,122.96,122.89,124.02,3616476,451184438.27,164.36,62.3,INE069I01010,124.76,,-2.44,3.35,-0.85,32.41,-5.24,-4.77,-0.47
2024-08-12,131.1,120.5,122.96,129.74,131.0,122.96,8290431,1052101680.76,164.36,62.3,INE069I01010,126.91,,5.51,1.05,5.51,44.35,-4.84,-4.78,-0.06
2024-08-13,134.5,130.52,131.0,132.27,132.5,129.74,7434546,986839988.61,164.36,62.3,INE069I01010,132.74,,0.97,1.69,1.95,48.04,-4.28,-4.68,0.40
2024-08-14,132.38,126.79,131.9,129.4,129.5,132.27,4007898,516529138.58,164.36,62.3,INE069I01010,128.88,,-1.90,2.30,-2.17,44.44,-4.02,-4.55,0.53
2024-08-16,133.86,128.51,131.99,129.78,130.21,129.4,4488978,587285254.98,164.36,62.3,INE069I01010,130.83,,-1.67,3.14,0.29,45.03,-3.74,-4.39,0.65
2024-08-19,131.49,129.3,130.2,129.9,129.8,129.78,2798773,364477129.2,164.36,62.6,INE069I01010,130.23,,-0.23,1.22,0.09,45.22,-3.46,-4.20,0.74
2024-08-20,133.6,130.7,130.75,131.57,131.75,129.9,3514518,465605373.04,164.36,62.6,INE069I01010,132.48,,0.63,1.54,1.29,48.01,-3.08,-3.98,0.90
2024-08-21,132.19,130.3,131.75,131.02,131.17,131.57,3106362,407390148.45,164.36,62.6,INE069I01010,131.15,,-0.55,0.89,-0.42,47.16,-2.78,-3.74,0.96
2024-08-22,143.34,131.5,131.59,142.17,142.0,131.02,16264350,2257854328.6,164.36,62.6,INE069I01010,138.82,,8.04,0.82,8.51,61.92,-1.63,-3.32,1.69
2024-08-23,145.74,138.55,142.5,139.73,139.01,142.17,10466630,1492137125.61,164.36,62.6,INE069I01010,142.56,,-1.94,4.30,-1.72,58.09,-0.91,-2.83,1.93
2024-08-26,142.49,137.62,139.05,138.33,137.99,139.73,4954474,691329569.5,164.36,69.0,INE069I01010,139.54,,-0.52,3.01,-1.00,55.96,-0.44,-2.36,1.92
2024-08-27,150.99,137.0,138.32,148.9,148.1,138.33,23116368,3365185261.8,164.36,69.0,INE069I01010,145.58,,7.65,1.40,7.64,66.09,0.78,-1.73,2.51
2024-08-28,150.4,138.11,148.9,138.63,138.91,148.9,13040415,1886138151.16,164.36,69.0,INE069I01010,144.64,,-6.90,8.49,-6.90,53.27,0.90,-1.20,2.10
2024-08-29,139.4,133.1,138.92,135.04,135.5,138.63,6881844,933484685.24,164.36,69.0,INE069I01010,135.64,,-2.79,3.23,-2.59,49.64,0.70,-0.82,1.52
2024-08-30,136.9,131.9,135.6,132.76,132.91,135.04,5023314,673662614.49,164.36,69.0,INE069I01010,134.11,,-2.09,3.12,-1.69,47.43,0.35,-0.59,0.94
2024-09-02,134.19,130.1,133.25,130.44,130.4,132.76,4501409,591508791.77,164.36,69.0,INE069I01010,131.41,,-2.11,2.87,-1.75,45.23,-0.11,-0.49,0.38
2024-09-03,134.1,131.0,131.0,132.52,132.4,130.44,3706751,491188154.6,164.36,69.0,INE069I01010,132.51,,1.16,1.19,1.59,47.58,-0.30,-0.45,0.15
2024-09-04,136.29,130.4,131.2,131.38,131.8,132.52,6635716,881884827.81,164.36,69.0,INE069I01010,132.9,,0.14,3.74,-0.86,46.40,-0.54,-0.47,-0.07
2024-09-05,134.2,132.1,132.37,132.79,132.6,131.38,3634480,484117472.0,164.36,69.0,INE069I01010,133.2,,0.32,1.06,1.07,48.11,-0.61,-0.50,-0.11
2024-09-06,133.45,127.21,133.1,128.26,128.6,132.79,5942816,766954855.11,164.36,69.0,INE069I01010,129.06,,-3.64,4.05,-3.41,43.33,-1.02,-0.60,-0.42
2024-09-09,128.86,124.86,128.25,127.73,128.15,128.26,4057618,515059800.6,164.36,69.0,INE069I01010,126.94,,-0.41,0.88,-0.41,42.80,-1.37,-0.76,-0.61
2024-09-10,130.7,128.3,128.3,129.66,129.7,127.73,3843136,497883330.1,164.36,69.0,INE069I01010,129.55,,1.06,0.80,1.51,45.44,-1.47,-0.90,-0.57
